crime_id,entity,entity_classification
690d5d6df96aa3eab83af59f,20,small
690d5d6df96aa3eab83af59f,27b,small
690d5d6df96aa3eab83af59f,27,small
690d8b0f80bade0543ae8867,8c,small
690d8b0f80bade0543ae8867,20biia,small
690d8b0f80bade0543ae8867,20,small
690d8b0f80bade0543ae8867,27a,small
690d8b0f80bade0543ae8867,27,small
690ddbf9d550251a881ef9e4,8b,intermediate
690ddbf9d550251a881ef9e4,8,small
690ddbf9d550251a881ef9e4,8c,small
690ddbf9d550251a881ef9e4,20ai,cultivation
690ddbf9d550251a881ef9e4,20,small
690ddd3a80bade71fac25449,8c,small
690ddd3a80bade71fac25449,20biib,intermediate
690ddd3a80bade71fac25449,20,small
690ddd3a80bade71fac25449,27a,small
690ddd3a80bade71fac25449,29,small
690de9ff1d66480ea3de8750,8c,small
690de9ff1d66480ea3de8750,20ai,cultivation
690de9ff1d66480ea3de8750,20,small
690de9ff1d66480ea3de8750,27b,small
690de9ff1d66480ea3de8750,27,small
690e235882209f4f8650ec21,8c,small
690e235882209f4f8650ec21,27b,small
690e235882209f4f8650ec21,27,small
690e23fb1d66485d3ce122ec,8c,small
690e23fb1d66485d3ce122ec,27b,small
690e23fb1d66485d3ce122ec,27,small
690e2b6f82209f78ce512268,8c,small
690e2b6f82209f78ce512268,20iia,small
690e2b6f82209f78ce512268,20,small
690e2b6f82209f78ce512268,27b,small
690e2b6f82209f78ce512268,27,small
690e2b6f82209f78ce512268,78,small
690e3af991eaff69d1f13876,20biib,intermediate
690e3af991eaff69d1f13876,20,small
690ec7aadfcea91e0539eaf1,8c,small
690ec7aadfcea91e0539eaf1,20biia,small
690ec7aadfcea91e0539eaf1,20,small
690ecd9911545718a242f256,8c,small
690ecd9911545718a242f256,20biic,commercial
690ecd9911545718a242f256,20,small
690ecd9911545718a242f256,29,small
690eef921d664884d4eac843,8c,small
690eef921d664884d4eac843,20biib,intermediate
690eef921d664884d4eac843,20,small
690efd9ae85eee826a9f763a,3184,small
690efd9ae85eee826a9f763a,318,small
690efd9ae85eee826a9f763a,4,small
690efd9ae85eee826a9f763a,3162,small
690efd9ae85eee826a9f763a,316,small
690efd9ae85eee826a9f763a,2,small
690efd9ae85eee826a9f763a,22b,intermediate
690efd9ae85eee826a9f763a,22,small
690efd9ae85eee826a9f763a,27a,small
690efd9ae85eee826a9f763a,27,small
690efd9ae85eee826a9f763a,29,small
690f4261b3e6447e8a96cc0a,8c,small
690f4261b3e6447e8a96cc0a,20biia,small
690f4261b3e6447e8a96cc0a,20,small
690f4261b3e6447e8a96cc0a,27b,small
690f4261b3e6447e8a96cc0a,27,small
690f49bf1504b1ff01e420ea,8c,small
690f49bf1504b1ff01e420ea,20iia,small
690f49bf1504b1ff01e420ea,20,small
690f64ad1504b1f731e60756,8c,small
690f64ad1504b1f731e60756,20biia,small
690f64ad1504b1f731e60756,20,small
690f64ad1504b1f731e60756,27b,small
690f64ad1504b1f731e60756,27,small
690f98941d6648d7c0f52843,8c,small
690f98941d6648d7c0f52843,20biia,small
690f98941d6648d7c0f52843,20,small
690ff9c81504b108cdeae916,20biia,small
690ff9c81504b108cdeae916,20,small
691006e01504b1cccfeb261e,27,small
69100e23b3e64490f59e4343,22b,intermediate
69100e23b3e64490f59e4343,22,small
69100e23b3e64490f59e4343,27a,small
69100e23b3e64490f59e4343,27,small
69100e23b3e64490f59e4343,29,small
69102ecb80badef398e6348d,8c,small
69102ecb80badef398e6348d,20biia,small
69102ecb80badef398e6348d,20,small
6910386e1d6648b61cfc1bc2,8c,small
6910386e1d6648b61cfc1bc2,20biia,small
6910386e1d6648b61cfc1bc2,20,small
6910386e1d6648b61cfc1bc2,27b,small
6910386e1d6648b61cfc1bc2,27,small
691078751154578d6c673e34,8c,small
691078751154578d6c673e34,20biic,commercial
691078751154578d6c673e34,20,small
691078751154578d6c673e34,29,small
691087a01d6648c87801a79c,8c,small
691087a01d6648c87801a79c,20biia,small
691087a01d6648c87801a79c,20,small
691087a01d6648c87801a79c,29,small
691093aa1504b1242bf5c38e,8c,small
691093aa1504b1242bf5c38e,20biia,small
691093aa1504b1242bf5c38e,20,small
6910947591eaff9a4313ff15,8c,small
6910947591eaff9a4313ff15,20biia,small
6910947591eaff9a4313ff15,20,small
69109c9d11545714e369f993,8c,small
69109c9d11545714e369f993,20biia,small
69109c9d11545714e369f993,20,small
69109c9d11545714e369f993,27b,small
69109c9d11545714e369f993,27,small
6910c9a71504b11afef7df8f,20biib,intermediate
6910c9a71504b11afef7df8f,20,small
6910cf7bd550252f6d4ce814,20biia,small
6910cf7bd550252f6d4ce814,20,small
6910d1f7f96aa3d60d7f5e43,20biia,small
6910d1f7f96aa3d60d7f5e43,20,small
6910d1f7f96aa3d60d7f5e43,27b,small
6910d1f7f96aa3d60d7f5e43,27,small
6910de1ad55025acb04d1a90,20biia,small
6910de1ad55025acb04d1a90,20,small
691156db1504b132defc3e10,8b,intermediate
691156db1504b132defc3e10,8,small
